district,energy_source_level_1,energy_source_level_2,energy_source_level_3,technology,electrical_capacity,number_of_installations,data_source,as_of_year
Biała Podlaska,Renewable energy,Bioenergy,Biomass and biogas,,0.504,1,Urzad Regulacji Energetyki,2016
Biała Podlaska,Renewable energy,Solar,,Photovoltaics,0.3,1,Urzad Regulacji Energetyki,2016
Biała Podlaska,Renewable energy,Bioenergy,Sewage and landfill gas,,0.252,1,Urzad Regulacji Energetyki,2016
Białystok,Renewable energy,Bioenergy,Sewage and landfill gas,,1.532,1,Urzad Regulacji Energetyki,2016
Białystok,Renewable energy,Solar,,Photovoltaics,0.123,6,Urzad Regulacji Energetyki,2016
Białystok,Renewable energy,Bioenergy,Biomass and biogas,,78.503,1,Urzad Regulacji Energetyki,2016
Bielsko-Biała,Renewable energy,Bioenergy,Sewage and landfill gas,,0.536,1,Urzad Regulacji Energetyki,2016
Bielsko-Biała,Renewable energy,Bioenergy,Sewage and landfill gas,,0.75,1,Urzad Regulacji Energetyki,2016
Bielsko-Biała,Renewable energy,Solar,,Photovoltaics,0.061,4,Urzad Regulacji Energetyki,2016
Bielsko-Biała,Renewable energy,Hydro,,Hydro,0.023,1,Urzad Regulacji Energetyki,2016
Bydgoszcz,Renewable energy,Bioenergy,Sewage and landfill gas,,1.491,2,Urzad Regulacji Energetyki,2016
Bydgoszcz,Renewable energy,Bioenergy,Sewage and landfill gas,,1.15,1,Urzad Regulacji Energetyki,2016
Bydgoszcz,Renewable energy,Solar,,Photovoltaics,1.2,1,Urzad Regulacji Energetyki,2016
Bydgoszcz,Renewable energy,Hydro,,Hydro,0.145,2,Urzad Regulacji Energetyki,2016
Bydgoszcz,Renewable energy,Hydro,,Hydro,1.38,2,Urzad Regulacji Energetyki,2016
Bydgoszcz,Renewable energy,Hydro,,Hydro,4.0,1,Urzad Regulacji Energetyki,2016
Bytom,Renewable energy,Bioenergy,Sewage and landfill gas,,0.6,1,Urzad Regulacji Energetyki,2016
Bytom,Renewable energy,Solar,,Photovoltaics,0.104,1,Urzad Regulacji Energetyki,2016
Bytom,Renewable energy,Bioenergy,Sewage and landfill gas,,0.4,1,Urzad Regulacji Energetyki,2016
Chełm,Renewable energy,Bioenergy,Sewage and landfill gas,,0.38,1,Urzad Regulacji Energetyki,2016
Chorzów,Renewable energy,Bioenergy,Sewage and landfill gas,,0.99,1,Urzad Regulacji Energetyki,2016
Chorzów,Renewable energy,Solar,,Photovoltaics,0.07,4,Urzad Regulacji Energetyki,2016
Chorzów,Renewable energy,Bioenergy,Biomass and biogas,,0.0,1,Urzad Regulacji Energetyki,2016
Częstochowa,Renewable energy,Bioenergy,Sewage and landfill gas,,0.83,1,Urzad Regulacji Energetyki,2016
Częstochowa,Renewable energy,Solar,,Photovoltaics,0.499,6,Urzad Regulacji Energetyki,2016
Częstochowa,Renewable energy,Wind,,Onshore,0.8,1,Urzad Regulacji Energetyki,2016
Częstochowa,Renewable energy,Hydro,,Hydro,0.13,1,Urzad Regulacji Energetyki,2016
Częstochowa,Renewable energy,Bioenergy,Biomass and biogas,,0.0,1,Urzad Regulacji Energetyki,2016
Dąbrowa Górnicza,Renewable energy,Bioenergy,Sewage and landfill gas,,0.253,1,Urzad Regulacji Energetyki,2016
Dąbrowa Górnicza,Renewable energy,Solar,,Photovoltaics,0.04,1,Urzad Regulacji Energetyki,2016
Dąbrowa Górnicza,Renewable energy,Hydro,,Hydro,0.12,2,Urzad Regulacji Energetyki,2016
Elbląg,Renewable energy,Bioenergy,Biomass and biogas,,0.0,1,Urzad Regulacji Energetyki,2016
Elbląg,Renewable energy,Bioenergy,Biomass and biogas,,25.0,1,Urzad Regulacji Energetyki,2016
Elbląg,Renewable energy,Bioenergy,Sewage and landfill gas,,0.372,1,Urzad Regulacji Energetyki,2016
Elbląg,Renewable energy,Bioenergy,Sewage and landfill gas,,0.4,1,Urzad Regulacji Energetyki,2016
Gdańsk,Renewable energy,Solar,,Photovoltaics,1.675,2,Urzad Regulacji Energetyki,2016
Gdańsk,Renewable energy,Bioenergy,Sewage and landfill gas,,2.864,1,Urzad Regulacji Energetyki,2016
Gdańsk,Renewable energy,Bioenergy,Sewage and landfill gas,,1.908,1,Urzad Regulacji Energetyki,2016
Gdańsk,Renewable energy,Wind,,Onshore,0.15,1,Urzad Regulacji Energetyki,2016
Gdańsk,Renewable energy,Bioenergy,Biomass and biogas,,0.95,1,Urzad Regulacji Energetyki,2016
Gdynia,Renewable energy,Solar,,Photovoltaics,0.039,1,Urzad Regulacji Energetyki,2016
Gliwice,Renewable energy,Hydro,,Hydro,0.36,1,Urzad Regulacji Energetyki,2016
Gliwice,Renewable energy,Bioenergy,Sewage and landfill gas,,0.551,1,Urzad Regulacji Energetyki,2016
Gliwice,Renewable energy,Bioenergy,Sewage and landfill gas,,0.365,1,Urzad Regulacji Energetyki,2016
